Database 2000 
Gender|Height|Weight|Age|Socio-Eco
Female|135.22317906672|68.4682425725279|42.219063478089|Middle Class
Female|234.742018205541|47.0882194134698|46.0779800301029|Middle Class
Male|145.180740836104|70.2913461790192|13.2331119004027|Poor
Male|152.49839559083|87.5296692041779|27.8902438563319|Poor
Male|135.996799432498|62.6232884829918|30.3105034644386|Poor
Male|148.475948400121|65.5038926350506|52.0051149547387|Rich
Female|184.051204723567|31.8993001775741|36.6466845888051|Middle Class
Female|137.9684302042|63.5808089296513|41.4268865086236|Middle Class
Male|167.671958490001|88.5546040683666|56.7231086085687|Middle Class
Male|138.404015775055|58.6778713411791|47.9397189871865|Rich
Male|142.100716678966|61.4563915266386|50.1249453101887|Rich
Female|144.833081556071|60.755686260179|44.8532322063208|Rich
Female|156.407490868825|88.8612080952996|26.0860218201029|Middle Class
Female|109.00830291076|66.4927045596256|27.9056978108235|Middle Class
Male|165.040369619061|50.4312245719021|46.949744511051|Rich
Female|141.157300730237|38.670142493137|27.3327360895609|Middle Class
Female|144.560170017547|36.0127107044228|47.5714334824436|Rich
Male|92.8248872912557|65.4068856536232|10.3026244056195|Poor
Female|144.78576263302|50.1122179365518|28.6521241402329|Middle Class
Male|205.293878756914|53.6641575796682|36.8932568322777|Middle Class
Male|129.531667580723|59.8558787247877|20.4828138598052|Middle Class
Male|168.286888341616|76.2610320729963|32.1486560519756|Middle Class
Female|172.699895654072|77.9457610494233|43.6179978285761|Middle Class
Male|158.554996669556|73.3053539484087|34.3356574502317|Middle Class
Female|192.740585445401|71.8988655913703|34.9388800329883|Rich
Male|184.038186908351|39.9957605827184|40.6983817458774|Rich
Male|105.262230989152|61.7708087446666|33.0027928338683|Middle Class
Female|148.895529600151|70.0504007601118|38.504771663819|Middle Class
Female|134.586209988923|81.5232108474683|27.0282980730309|Middle Class
Female|157.300840129563|106.196030737548|25.4783643136458|Rich
Male|109.892854804218|23.0849034722126|50.8827456591471|Rich
Male|190.086183798598|44.8622783787115|30.1756372193173|Middle Class
Female|140.8033913551|48.0410083268724|21.1028381567802|Poor
Female|218.466231011153|81.0473133573296|34.3931397611472|Middle Class
Male|162.359236991557|40.3023432094123|30.0499446439185|Middle Class
Female|194.919669545442|26.5163199283419|48.4970784842098|Middle Class
Female|152.33796635365|69.4476820584216|24.2229107185066|Middle Class
Male|184.664172208593|63.9267537434684|27.9315190109449|Middle Class
Male|152.307416169021|78.8068451566803|40.8562041010665|Middle Class
Male|153.984426411448|47.957888074659|60.1758578286091|Poor
Male|153.945144252332|52.5725170113899|31.3964329135131|Poor
Female|165.55634194559|33.0763728723524|39.9926548578201|Poor
Female|168.64455502669|68.090357834724|22.0120465794477|Middle Class
Male|144.988766294442|114.650939076774|34.5720793643143|Middle Class
Male|110.508892478469|54.7328422089362|40.6932354854163|Rich
Female|151.947671850188|58.9343377833559|37.7298929302709|Middle Class
Male|125.806574150382|60.9138065216797|38.3036689281998|Rich
Female|178.20069124283|69.4447671242605|36.041217402795|Poor
Male|191.825413856358|35.5505218931279|47.9404694506484|Middle Class
Male|210.783459762843|79.9122002409287|52.3544049183723|Rich
Male|185.666140813011|67.2022445474387|29.562143614957|Rich
Male|123.184279549972|58.8854064232088|32.226698374688|Poor
Male|130.421964182517|58.9532465026209|25.8386249742593|Rich
Female|188.221751872703|34.7364510979392|36.5025704861752|Rich
Male|112.208310865544|23.3938207270396|36.1599340179008|Poor
Male|115.088633393622|64.103797205706|18.6515262411263|Rich
Female|221.748931752922|70.6384082740029|36.2888587139672|Middle Class
Female|221.345764579151|56.9303657568587|28.5091460200704|Middle Class
